_id,id_local,desc_distrito_local,desc_barrio_local,clase_vial_edificio,desc_situacion_local,Nombre,desc_periodo_terraza,desc_situacion_terraza,DESC_CLASE,DESC_NOMBRE,desc_ubicacion_terraza
1336,270277068,CENTRO              ,JUSTICIA            ,PLAZA                   ,Abierto,LA BOHEMIA,Anual,Abierta,PLAZA                   ,CHUECA                                            ,Plaza peatonal
1337,270051335,CENTRO              ,SOL                 ,CALLE                   ,Abierto,O?FARO DE FINISTERRE RESTAURANTE,Anual,Abierta,CALLE                   ,JACOMETREZO                                       ,Acera
1338,270310047,CENTRO              ,EMBAJADORES         ,CALLE                   ,Abierto,LAVAPIES SHAPLA,Anual,Abierta,CALLE                   ,LAVAPIES                                          ,Acera
1339,270439986,CENTRO              ,UNIVERSIDAD         ,CALLE                   ,Abierto,CAFE PEPE BOTELLA,Anual,Abierta,PLAZA                   ,DOS DE MAYO                                       ,Plaza peatonal
1340,270362086,CENTRO              ,SOL                 ,CALLE                   ,Abierto,A MI?A GAITA,Anual,Abierta,CALLE                   ,NAVAS DE TOLOSA                                   ,Calle peatonal
1342,270271237,CENTRO              ,SOL                 ,PASADIZO                ,Abierto,CHOCOLATERIA SAN GINES ANEXO,Anual,Abierta,PASADIZO                ,SAN GINES                                         ,Calle peatonal
1343,10002968,CENTRO              ,UNIVERSIDAD         ,CALLE                   ,Abierto,RINCON DE REYES,Estacional,Abierta,CALLE                   ,REYES                                             ,Calle peatonal
1344,10002139,CENTRO              ,PALACIO             ,CALLE                   ,Abierto,DON CARNARL,Anual,Abierta,CALLE                   ,CAVA DE SAN MIGUEL                                ,Acera
1345,270395877,CENTRO              ,SOL                 ,CALLE                   ,Abierto,CAFETERIA ARMENIA,Anual,Abierta,CALLE                   ,CARMEN                                            ,Calle peatonal
1346,280011728,CENTRO              ,SOL                 ,CALLE                   ,Abierto,MUSEO DEL JAMON,Anual,Abierta,PLAZA                   ,MAYOR                                             ,Plaza peatonal
1347,270051471,CENTRO              ,SOL                 ,CALLE                   ,Abierto,MESON VI?A T                                      ,Anual,Abierta,CALLE                   ,NAVAS DE TOLOSA                                   ,Calle peatonal
1349,285002026,CENTRO              ,EMBAJADORES         ,CALLE                   ,Abierto,CARMEN / EXT. 2-3,Anual,Abierta,CALLE                   ,SOMBRERETE                                        ,Calle peatonal
1350,270512052,CENTRO              ,JUSTICIA            ,PLAZA                   ,Abierto,SANTANDER CAFETERIA,Anual,Abierta,PLAZA                   ,SANTA BARBARA                                     ,Acera
1351,270440037,CENTRO              ,PALACIO             ,CALLE                   ,Abierto,MAESTRO VILLA VINOTECA,Anual,Abierta,CALLE                   ,MAESTRO VILLA                                     ,Calle peatonal
1352,280011713,CENTRO              ,SOL                 ,CALLE                   ,Abierto,FIVE GUYS,Anual,Abierta,CALLE                   ,IMPERIAL                                          ,Acera
1354,280007639,CENTRO              ,PALACIO             ,CALLE                   ,Abierto,BAR RESTAURANTE URUMEA II,Anual,Abierta,CALLE                   ,CEBADA                                            ,Plaza con bandas permanentes de circulaci? rodada
1355,270414642,TETUAN              ,CUATRO CAMINOS      ,CALLE                   ,Abierto,LA BODEGUITA DE ORENSE,Anual,Abierta,CALLE                   ,ORENSE                                            ,Acera
1356,280012590,CENTRO              ,PALACIO             ,CALLE                   ,Abierto,LA PAELLA REAL,Anual,Abierta,CALLE                   ,ARRIETA                                           ,Acera
1357,270525090,CENTRO              ,EMBAJADORES         ,CALLE                   ,Abierto,TABERNA LA INQUILINA,Anual,Abierta,CALLE                   ,AVE MARIA                                         ,Acera
1358,270322319,CENTRO              ,SOL                 ,CALLE                   ,Abierto,LE ROLLERIE,Anual,Abierta,CALLE                   ,COLOREROS                                         ,Plaza peatonal
1359,270045084,CENTRO              ,JUSTICIA            ,CALLE                   ,Abierto,CAFE FIGUEROA,Anual,Abierta,CALLE                   ,AUGUSTO FIGUEROA                                  ,Calle peatonal
1360,270349631,CENTRO              ,JUSTICIA            ,CALLE                   ,Abierto,FERMENTERA,Anual,Abierta,CALLE                   ,AUGUSTO FIGUEROA                                  ,Acera
1362,280007458,CENTRO              ,PALACIO             ,CALLE                   ,Abierto,RESTAURANTE VEGETARIANO,Anual,Abierta,CALLE                   ,SANTIAGO                                          ,Acera
1363,280008453,CENTRO              ,EMBAJADORES         ,CALLE                   ,Abierto,EL RINCON GUAY,Anual,Abierta,CALLE                   ,EMBAJADORES                                       ,Acera
1364,10000517,CENTRO              ,PALACIO             ,PLAZA                   ,Abierto,TABERNA LA EXTREME?A. PRODUCTOS DE MI TIERRA,Anual,Abierta,PLAZA                   ,CEBADA                                            ,Acera
1365,270507772,CENTRO              ,EMBAJADORES         ,CALLE                   ,Abierto,CAFETERIA OSS,Anual,Abierta,CALLE                   ,CASINO                                            ,Acera
1367,270529776,CENTRO              ,EMBAJADORES         ,CALLE                   ,Abierto,EL PALADAR DE LAVAPIES,Anual,Abierta,CALLE                   ,ARGUMOSA                                          ,Acera
1369,270037375,CENTRO              ,PALACIO             ,PLAZA                   ,Abierto,DANS LE NOIR,Estacional,Abierta,PLAZA                   ,BIOMBO                                            ,Plaza con bandas permanentes de circulaci? rodada
1370,280008473,CENTRO              ,EMBAJADORES         ,CALLE                   ,Abierto,DONNER KEBAP,Anual,Abierta,CALLE                   ,EMBAJADORES                                       ,Acera
1371,285003015,CENTRO              ,JUSTICIA            ,CALLE                   ,Abierto,COOB MOSS 2,Anual,Abierta,CALLE                   ,BARBIERI                                          ,Acera
1372,40000315,SALAMANCA           ,LISTA               ,CALLE                   ,Abierto,CREPERIE BUB?,Anual,Abierta,CALLE                   ,JOSE ORTEGA Y GASSET                              ,Acera
1373,280008814,CENTRO              ,EMBAJADORES         ,CALLE                   ,Abierto,TABERNA LA CASA DE LAS TOSTAS,Anual,Abierta,CALLE                   ,ARGUMOSA                                          ,Acera
1375,280010794,CENTRO              ,UNIVERSIDAD         ,CALLE                   ,Abierto,LA CAJITA DE NORI,Anual,Abierta,PLAZA                   ,GUARDIAS DE CORPS                                 ,Plaza peatonal
